facility,address,city,system_abbrev,zip_code,latitude,longitude,full_address,capacity,in_hsf,hsf_facility_name
Dade Correctional Institution,19000 S.W. 377th St,Florida City,FL,33034,25.41545,-80.49960,"19000 S.W. 377th St, Florida City, FL 33034",,,DADE CORRECTIONAL INSTITUTION
Desoto Correctional Institution,13617 S.E. Hwy 70,Arcadia,FL,34266,27.20367,-81.66524,"13617 S.E. Hwy 70, Arcadia, FL 34266",,,DESOTO CORRECTIONAL INSTITUTION
Everglades Correctional Institution,1599 S.W. 187th Ave,Miami,FL,33194,25.74999,-80.49139,"1599 S.W. 187th Ave, Miami, FL 33194",,,EVERGLADES CORRECTIONAL INSTITUTION
Florida State Prison,23916 N.W. 83rd Ave,Raiford,FL,32083,30.05808,-82.18261,"23916 N.W. 83rd Ave, Raiford, FL 32083",,,FLORIDA STATE PRISON
Florida Women's Reception Center,3700 N.W. 111th Place,Ocala,FL,34482,29.31010,-82.18837,"3700 N.W. 111th Place, Ocala, FL 34482",,,FLORIDA WOMEN'S RECEPTION CENTER
Franklin Correctional Institution,1760 Hwy 67 N.,Carrabelle,FL,32322,29.91561,-84.64587,"1760 Hwy 67 N., Carrabelle, FL 32322",,,FRANKLIN CORRECTIONAL INSTITUTION
Gadsden Correctional Facility ,6044 Greensboro Hwy,Quincy,FL,32351,30.58982,-84.65401,"6044 Greensboro Hwy, Quincy, FL 32351",,,GADSDEN CORRECTIONAL FACILITY 
Graceville Correctional Facility ,5168 Ezell Rd,Graceville,FL,32440,30.94439,-85.48913,"5168 Ezell Rd, Graceville, FL 32440",,,GRACEVILLE CORRECTIONAL FACILITY 
Gulf Correctional Institution,500 Ike Steele Rd,Wewahitchka,FL,32465,30.17192,-85.26067,"500 Ike Steele Rd, Wewahitchka, FL 32465",,,GULF CORRECTIONAL INSTITUTION
Hamilton Correctional Institution,10650 S.W. 46th St,Jasper,FL,32052,30.50485,-82.96285,"10650 S.W. 46th St, Jasper, FL 32052",,,HAMILTON CORRECTIONAL INSTITUTION
Hardee Correctional Institution,6901 State Rd 62,Bowling Green,FL,33834,27.59069,-82.01138,"6901 State Rd 62, Bowling Green, FL 33834",,,HARDEE CORRECTIONAL INSTITUTION
Hernando Correctional Institution,16415 Spring Hill Dr,Brooksville,FL,34604,28.52050,-82.30858,"16415 Spring Hill Dr, Brooksville, FL 34604",,,HERNANDO CORRECTIONAL INSTITUTION
Holmes Correctional Institution,3142 Thomas Dr,Bonifay,FL,32425,30.75885,-85.66981,"3142 Thomas Dr, Bonifay, FL 32425",,,HOLMES CORRECTIONAL INSTITUTION
