facility,address,city,system_abbrev,zip_code,latitude,longitude,full_address,capacity,in_hsf,hsf_facility_name
Craven Correctional Institution,600 Alligator Rd,Vanceboro,NC,28586,,,"600 Alligator Rd, Vanceboro, NC 28586",,,CRAVEN CORRECTIONAL INSTITUTION
Dan River Prison Work Farm,981 Murray Rd,Blanch,NC,27212,,,"981 Murray Rd, Blanch, NC 27212",,,DAN RIVER PRISON WORK FARM
Davidson Correctional Center,1400 Thomason St,Lexington,NC,27292,,,"1400 Thomason St, Lexington, NC 27292",,,DAVIDSON CORRECTIONAL CENTER
Eastern Correctional Institution,2821 N.C. Hwy 903,Maury,NC,28554,,,"2821 N.C. Hwy 903, Maury, NC 28554",,,EASTERN CORRECTIONAL INSTITUTION
Foothills Correctional Institution,5150 Western Ave,Morganton,NC,28655,,,"5150 Western Ave, Morganton, NC 28655",,,FOOTHILLS CORRECTIONAL INSTITUTION
Forsyth Correctional Center,307 Craft Dr,Winston-Salem,NC,27105,,,"307 Craft Dr, Winston-Salem, NC 27105",,,FORSYTH CORRECTIONAL CENTER
Franklin Correctional Center,5918 N.C. Hwy 39,South Bunn,NC,27508,,,"5918 N.C. Hwy 39, South Bunn, NC 27508",,,FRANKLIN CORRECTIONAL CENTER
Gaston Correctional Center,520 Justice Court,Dallas,NC,28034,,,"520 Justice Court, Dallas, NC 28034",,,GASTON CORRECTIONAL CENTER
Granville Correctional Institution,1001 Veazey Rd,Butner,NC,27509,,,"1001 Veazey Rd, Butner, NC 27509",,,GRANVILLE CORRECTIONAL INSTITUTION
Greene Correctional Institution,2699 Hwy 903,Maury,NC,28554,,,"2699 Hwy 903, Maury, NC 28554",,,GREENE CORRECTIONAL INSTITUTION
Harnett Correctional Institution,1210 E. McNeill St,Lillington,NC,27546,,,"1210 E. McNeill St, Lillington, NC 27546",,,HARNETT CORRECTIONAL INSTITUTION
Hyde Correctional Institution,620 Prison Rd,Fairfield,NC,27826,,,"620 Prison Rd, Fairfield, NC 27826",,,HYDE CORRECTIONAL INSTITUTION
Johnston Correctional Institution,510 Turnage Rd,Smithfield,NC,27577,,,"510 Turnage Rd, Smithfield, NC 27577",,,JOHNSTON CORRECTIONAL INSTITUTION
Lincoln Correctional Center,464 Roper Dr,Lincolnton,NC,28092,,,"464 Roper Dr, Lincolnton, NC 28092",,,LINCOLN CORRECTIONAL CENTER
Lumberton Correctional Institution,75 Legend Rd,Lumberton,NC,28359,,,"75 Legend Rd, Lumberton, NC 28359",,,LUMBERTON CORRECTIONAL INSTITUTION
Marion Correctional Institution,355 Old Glenwood Rd,Marion,NC,28752,,,"355 Old Glenwood Rd, Marion, NC 28752",,,MARION CORRECTIONAL INSTITUTION
Maury Correctional Institution,2568 Moore Rouse Rd,Hookerton,NC,28538,,,"2568 Moore Rouse Rd, Hookerton, NC 28538",,,MAURY CORRECTIONAL INSTITUTION
Mountain View Correctional Institution,545 Amity Park Rd,Spruce Pine,NC,28777,,,"545 Amity Park Rd, Spruce Pine, NC 28777",,,MOUNTAIN VIEW CORRECTIONAL INSTITUTION
NC Correctional Institution for Women,1034 Bragg St,Raleigh,NC,27610,,,"1034 Bragg St, Raleigh, NC 27610",,,NC CORRECTIONAL INSTITUTION FOR WOMEN
Nash Correctional Institution,2869 U.S. 64 Alt,Nashville,NC,27856,,,"2869 U.S. 64 Alt, Nashville, NC 27856",,,NASH CORRECTIONAL INSTITUTION
Neuse Correctional Institution,701 Stevens Mill Rd,Goldsboro,NC,27533,,,"701 Stevens Mill Rd, Goldsboro, NC 27533",,,NEUSE CORRECTIONAL INSTITUTION
New Hanover Correctional Center,330 Division Dr,Wilmington,NC,28401,,,"330 Division Dr, Wilmington, NC 28401",,,NEW HANOVER CORRECTIONAL CENTER
Orange Correctional Center,2110 Clarence Walters Rd,Hillsborough,NC,27278,,,"2110 Clarence Walters Rd, Hillsborough, NC 27278",,,ORANGE CORRECTIONAL CENTER
Pamlico Correctional Institution,601 W. Third St,Bayboro,NC,28515,,,"601 W. Third St, Bayboro, NC 28515",,,PAMLICO CORRECTIONAL INSTITUTION
Pasquotank Correctional Institution,527 Commerce Dr,Elizabeth City,NC,27906,,,"527 Commerce Dr, Elizabeth City, NC 27906",,,PASQUOTANK CORRECTIONAL INSTITUTION
Pender Correctional Institution,906 Penderlea Hwy,Burgaw,NC,28425,,,"906 Penderlea Hwy, Burgaw, NC 28425",,,PENDER CORRECTIONAL INSTITUTION
Piedmont Correctional Institution,1245 Camp Rd,Salisbury,NC,28147,,,"1245 Camp Rd, Salisbury, NC 28147",,,PIEDMONT CORRECTIONAL INSTITUTION
Randolph Correctional Center,2760 U.S. 220 Business,Asheboro,NC,27203,,,"2760 U.S. 220 Business, Asheboro, NC 27203",,,RANDOLPH CORRECTIONAL CENTER
Richmond Correctional Institution,1573 McDonald Church Rd,Hoffman,NC,28347,,,"1573 McDonald Church Rd, Hoffman, NC 28347",,,RICHMOND CORRECTIONAL INSTITUTION
Raoanoke River Correctional Institution,2787 Caledonia Dr,Tillery,NC,27882,,,"2787 Caledonia Dr, Tillery, NC 27882",,,RAOANOKE RIVER CORRECTIONAL INSTITUTION
Rutherford Correctional Center,549 Ledbetter Rd,Spindale,NC,28160,,,"549 Ledbetter Rd, Spindale, NC 28160",,,RUTHERFORD CORRECTIONAL CENTER
Sampson Correctional Institution,700 W. Blvd,Clinton,NC,28328,,,"700 W. Blvd, Clinton, NC 28328",,,SAMPSON CORRECTIONAL INSTITUTION
Sanford Correctional Center,417 Advancement Center Rd,Sanford,NC,27330,,,"417 Advancement Center Rd, Sanford, NC 27330",,,SANFORD CORRECTIONAL CENTER
Scotland Correctional Institution,22385 McGirts Bridge Rd,Laurinburg,NC,28353,,,"22385 McGirts Bridge Rd, Laurinburg, NC 28353",,,SCOTLAND CORRECTIONAL INSTITUTION
Southern Correctional Institution,272 Glen Rd,Troy,NC,27371,,,"272 Glen Rd, Troy, NC 27371",,,SOUTHERN CORRECTIONAL INSTITUTION
Tabor Correctional Institution,4600 Swamp Fox Hwy,West Tabor City,NC,28463,,,"4600 Swamp Fox Hwy, West Tabor City, NC 28463",,,TABOR CORRECTIONAL INSTITUTION
Tyrrell Prison Work Farm,620 Snell Rd,Columbia,NC,27925,,,"620 Snell Rd, Columbia, NC 27925",,,TYRRELL PRISON WORK FARM
Warren Correctional Institution,379 Collins Rd,Manson,NC,27553,,,"379 Collins Rd, Manson, NC 27553",,,WARREN CORRECTIONAL INSTITUTION
Western Correctional Center for Women,55 Lake Eden Rd,Black Mountain,NC,28711,,,"55 Lake Eden Rd, Black Mountain, NC 28711",,,WESTERN CORRECTIONAL CENTER FOR WOMEN
Wilkes Correctional Center,404 Statesville Rd,North Wilkesboro,NC,28659,,,"404 Statesville Rd, North Wilkesboro, NC 28659",,,WILKES CORRECTIONAL CENTER
Wake Correctional Center ,1000 Rock Quarry Rd,Raleigh,NC,27610,,,"1000 Rock Quarry Rd, Raleigh, NC 27610",,,WAKE CORRECTIONAL CENTER 
North Dakota State Penitentiary,3100 Railroad Ave,Bismarck,ND,58506,,,"3100 Railroad Ave, Bismarck, ND 58506",,,NORTH DAKOTA STATE PENITENTIARY
James River Correctional Center,2521 Circle Dr,Jamestown,ND,58401,,,"2521 Circle Dr, Jamestown, ND 58401",,,JAMES RIVER CORRECTIONAL CENTER
Missouri River Correctional Center,1800 48th Ave S.W.,Bismarck,ND,58506,,,"1800 48th Ave S.W., Bismarck, ND 58506",,,MISSOURI RIVER CORRECTIONAL CENTER
Heart River Correctional Center,701 16th Ave S.W. ,Mandan,ND,58554,,,"701 16th Ave S.W. , Mandan, ND 58554",,,HEART RIVER CORRECTIONAL CENTER
Dakota Women's Correctional and Rehabilitation Center,440 McKenzie St,New England,ND,58647,,,"440 McKenzie St, New England, ND 58647",,,DAKOTA WOMEN'S CORRECTIONAL AND REHABILITATION CENTER
Allen-Oakwood Correctional Institution,2338 N.W. St,Lima,OH,45801,,,"2338 N.W. St, Lima, OH 45801",,,ALLEN-OAKWOOD CORRECTIONAL INSTITUTION
Belmont Correctional Institution,68518 Bannock Rd,St. Clairsville,OH,43950,,,"68518 Bannock Rd, St. Clairsville, OH 43950",,,BELMONT CORRECTIONAL INSTITUTION
Chillicothe Correctional Institution ,15802 OH-104,Chillicothe,OH,45601,,,"15802 OH-104, Chillicothe, OH 45601",,,CHILLICOTHE CORRECTIONAL INSTITUTION 
Correctional Reception Center,11271 State Rte 762,Orient,OH,43146,,,"11271 State Rte 762, Orient, OH 43146",,,CORRECTIONAL RECEPTION CENTER
Dayton Correctional Institution ,4104 Germantown St,Dayton,OH,45417,,,"4104 Germantown St, Dayton, OH 45417",,,DAYTON CORRECTIONAL INSTITUTION 
Franklin Medical Center,1990 Harmon Ave,Columbus,OH,43223,,,"1990 Harmon Ave, Columbus, OH 43223",,,FRANKLIN MEDICAL CENTER
Grafton Correctional Institution ,2500 Avon Belden Rd,Grafton,OH,44044,,,"2500 Avon Belden Rd, Grafton, OH 44044",,,GRAFTON CORRECTIONAL INSTITUTION 
Lake Erie Correctional Institution ,501 Thompson Rd,Conneaut,OH,44030,,,"501 Thompson Rd, Conneaut, OH 44030",,,LAKE ERIE CORRECTIONAL INSTITUTION 
Lebanon Correctional Institution ,3791 State Rte 63,Lebanon,OH,45036,,,"3791 State Rte 63, Lebanon, OH 45036",,,LEBANON CORRECTIONAL INSTITUTION 
London Correctional Institution ,1580 State Rte 56 S.W.,London,OH,43140,,,"1580 State Rte 56 S.W., London, OH 43140",,,LONDON CORRECTIONAL INSTITUTION 
Lorain Correctional Institution ,2075 S. Avon-Belden Rd,Grafton,OH,44044,,,"2075 S. Avon-Belden Rd, Grafton, OH 44044",,,LORAIN CORRECTIONAL INSTITUTION 
Madison Correctional Institution ,1851 State Rte 56,London,OH,43140,,,"1851 State Rte 56, London, OH 43140",,,MADISON CORRECTIONAL INSTITUTION 
Mansfield Correctional Institution ,1150 W. Main St,Mansfield,OH,44903,,,"1150 W. Main St, Mansfield, OH 44903",,,MANSFIELD CORRECTIONAL INSTITUTION 
Marion Correctional Institution ,940 Marion-Williamsport Rd E.,Marion,OH,43302,,,"940 Marion-Williamsport Rd E., Marion, OH 43302",,,MARION CORRECTIONAL INSTITUTION 
Noble Correctional Institution ,15708 McConnelsville Rd,Caldwell,OH,43724,,,"15708 McConnelsville Rd, Caldwell, OH 43724",,,NOBLE CORRECTIONAL INSTITUTION 
North Central Correctional Complex,670 Marion-Williamsport Rd,Marion,OH,43302,,,"670 Marion-Williamsport Rd, Marion, OH 43302",,,NORTH CENTRAL CORRECTIONAL COMPLEX
Northeast Ohio Correctional Center,2240 Hubbard Rd,Youngstown,OH,44505,,,"2240 Hubbard Rd, Youngstown, OH 44505",,,NORTHEAST OHIO CORRECTIONAL CENTER
Northeast Reintegration Center,2675 E. 30th St,Cleveland,OH,44115,,,"2675 E. 30th St, Cleveland, OH 44115",,,NORTHEAST REINTEGRATION CENTER
Ohio Reformatory for Women,1479 Collins Ave,Marysville,OH,43040,,,"1479 Collins Ave, Marysville, OH 43040",,,OHIO REFORMATORY FOR WOMEN
Ohio State Penitentiary ,878 Coitsville-Hubbard Rd,Youngstown,OH,44505,,,"878 Coitsville-Hubbard Rd, Youngstown, OH 44505",,,OHIO STATE PENITENTIARY 
Pickaway Correctional Institution ,11781 State Rte 762,Orient,OH,43146,,,"11781 State Rte 762, Orient, OH 43146",,,PICKAWAY CORRECTIONAL INSTITUTION 
Richland Correctional Institution ,1001 Olivesburg Rd,Mansfield,OH,44905,,,"1001 Olivesburg Rd, Mansfield, OH 44905",,,RICHLAND CORRECTIONAL INSTITUTION 
Ross Correctional Institution ,16147 State Rte 104,Chillicothe,OH,45601,,,"16147 State Rte 104, Chillicothe, OH 45601",,,ROSS CORRECTIONAL INSTITUTION 
Southeastern Correctional Institution ,5900 BIS Rd S.W.,Lancaster,OH,43130,,,"5900 BIS Rd S.W., Lancaster, OH 43130",,,SOUTHEASTERN CORRECTIONAL INSTITUTION 
Southern Ohio Correctional Facility,1724 State Rt. 728,Lucasville,OH,45699,,,"1724 State Rt. 728, Lucasville, OH 45699",,,SOUTHERN OHIO CORRECTIONAL FACILITY
Toledo Correctional Institution ,2001 E. Central Ave,Toledo,OH,43608,,,"2001 E. Central Ave, Toledo, OH 43608",,,TOLEDO CORRECTIONAL INSTITUTION 
Trumbull Correctional Institution ,5701 Burnett St,Leavittsburg,OH,44430,,,"5701 Burnett St, Leavittsburg, OH 44430",,,TRUMBULL CORRECTIONAL INSTITUTION 
Warren Correctional Institution ,5787 State Rte 63,Lebanon,OH,45036,,,"5787 State Rte 63, Lebanon, OH 45036",,,WARREN CORRECTIONAL INSTITUTION 
Allen Gamble Correctional Center,6888 E. 133rd Rd,Holdenville,OK,74848,,,"6888 E. 133rd Rd, Holdenville, OK 74848",,,ALLEN GAMBLE CORRECTIONAL CENTER
Charles E. Bill Johnson Correctional Center,1856 E. Flynn St,Alva,OK,73717,,,"1856 E. Flynn St, Alva, OK 73717",,,CHARLES E. BILL JOHNSON CORRECTIONAL CENTER
Clara Waters Community Correctional Center,9901 N I-35 Service Rd,Oklahoma City,OK,73131,,,"9901 N I-35 Service Rd, Oklahoma City, OK 73131",,,CLARA WATERS COMMUNITY CORRECTIONAL CENTER
Dick Conner Correctional Center,129 Conner Rd,Hominy,OK,74035,,,"129 Conner Rd, Hominy, OK 74035",,,DICK CONNER CORRECTIONAL CENTER
Dr. Eddie Warrior Correctional Center,601 N. Oak St,Taft,OK,74463,,,"601 N. Oak St, Taft, OK 74463",,,DR. EDDIE WARRIOR CORRECTIONAL CENTER
Enid Community Corrections Center,2020 E. Maine Ave,Enid,OK,73701,,,"2020 E. Maine Ave, Enid, OK 73701",,,ENID COMMUNITY CORRECTIONS CENTER
Great Plains Correctional Center,700 Sugar Creek Dr,Hinton,OK,73047,,,"700 Sugar Creek Dr, Hinton, OK 73047",,,GREAT PLAINS CORRECTIONAL CENTER
Howard McLeod Correctional Center,19603 E. Whippoorwill Ln,Atoka,OK,74525,,,"19603 E. Whippoorwill Ln, Atoka, OK 74525",,,HOWARD MCLEOD CORRECTIONAL CENTER
Jackie Brannon Correctional Center,900 N. W. St,McAlester,OK,74502,,,"900 N. W. St, McAlester, OK 74502",,,JACKIE BRANNON CORRECTIONAL CENTER
James Crabtree Correctional Center,216 N. Murray St,Helena,OK,73741,,,"216 N. Murray St, Helena, OK 73741",,,JAMES CRABTREE CORRECTIONAL CENTER
Jess Dunn Correctional Center,601 S. 124th St W.,Taft,OK,74463,,,"601 S. 124th St W., Taft, OK 74463",,,JESS DUNN CORRECTIONAL CENTER
Jim E. Hamilton Correctional Center,53468 Mineral Springs Rd,Hodgen,OK,74939,,,"53468 Mineral Springs Rd, Hodgen, OK 74939",,,JIM E. HAMILTON CORRECTIONAL CENTER
John H. Lilley Correctional Center,407971 Hwy 62E,Boley,OK,74829,,,"407971 Hwy 62E, Boley, OK 74829",,,JOHN H. LILLEY CORRECTIONAL CENTER
Joseph Harp Correctional Center,16161 Moffat Rd,Lexington,OK,73051,,,"16161 Moffat Rd, Lexington, OK 73051",,,JOSEPH HARP CORRECTIONAL CENTER
Lawton Community Corrections Center,605 Southwest Coombs Rd,Lawton,OK,73501,,,"605 Southwest Coombs Rd, Lawton, OK 73501",,,LAWTON COMMUNITY CORRECTIONS CENTER
Lexington Assessment and Reception Center,15151 State Hwy 39,Lexington,OK,73051,,,"15151 State Hwy 39, Lexington, OK 73051",,,LEXINGTON ASSESSMENT AND RECEPTION CENTER
Mabel Bassett Correctional Center,29501 Kickapoo Rd,McLoud,OK,74851,,,"29501 Kickapoo Rd, McLoud, OK 74851",,,MABEL BASSETT CORRECTIONAL CENTER
Mack Alford Correctional Center,13001 W. Hwy 69,Atoka,OK,74525,,,"13001 W. Hwy 69, Atoka, OK 74525",,,MACK ALFORD CORRECTIONAL CENTER
Northeast Oklahoma Community Corrections Center,442586 E. 250 Rd,Vinita,OK,74301,,,"442586 E. 250 Rd, Vinita, OK 74301",,,NORTHEAST OKLAHOMA COMMUNITY CORRECTIONS CENTER
Oklahoma State Penitentiary,1301 N.W. St,McAlester,OK,74502,,,"1301 N.W. St, McAlester, OK 74502",,,OKLAHOMA STATE PENITENTIARY
Oklahoma State Reformatory ,1700 E. First St,Granite,OK,73547,,,"1700 E. First St, Granite, OK 73547",,,OKLAHOMA STATE REFORMATORY 
Union City Community Corrections Center ,700 W. Hwy 81,Union City,OK,73090,,,"700 W. Hwy 81, Union City, OK 73090",,,UNION CITY COMMUNITY CORRECTIONS CENTER 
Coffee Creek Correctional Facility,24499 S.W. Grahams Ferry Rd,Wilsonville,OR,97070,,,"24499 S.W. Grahams Ferry Rd, Wilsonville, OR 97070",,,COFFEE CREEK CORRECTIONAL FACILITY
Columbia River Correctional Institution ,9111 N.E. Sun​derland Ave,Portland,OR,97211,,,"9111 N.E. Sun​derland Ave, Portland, OR 97211",,,COLUMBIA RIVER CORRECTIONAL INSTITUTION 
Deer Ridge Correctional Institution,3920 E. Ashwood Rd,Madras,OR,97741,,,"3920 E. Ashwood Rd, Madras, OR 97741",,,DEER RIDGE CORRECTIONAL INSTITUTION
Eastern Oregon Correctional Institution ,2500 Westgate,Pendleton,OR,97801,,,"2500 Westgate, Pendleton, OR 97801",,,EASTERN OREGON CORRECTIONAL INSTITUTION 
Oregon State Correctional Institution,3405 Deer Park Dr S.E.,Salem,OR,97310,,,"3405 Deer Park Dr S.E., Salem, OR 97310",,,OREGON STATE CORRECTIONAL INSTITUTION
Oregon State Penitentiary,2605 State St,Salem,OR,97310,,,"2605 State St, Salem, OR 97310",,,OREGON STATE PENITENTIARY
Powder River Correctional Facility,3600 13th St,Baker City,OR,97814,,,"3600 13th St, Baker City, OR 97814",,,POWDER RIVER CORRECTIONAL FACILITY
Santiam Correctional Institution ,4005 Aumsville Hwy S.E.,Salem,OR,97317,,,"4005 Aumsville Hwy S.E., Salem, OR 97317",,,SANTIAM CORRECTIONAL INSTITUTION 
Snake River Correctional Institution ,777 Stanton Blvd,Ontario,OR,97914,,,"777 Stanton Blvd, Ontario, OR 97914",,,SNAKE RIVER CORRECTIONAL INSTITUTION 
South Fork Forest Camp,48300 Wilson River Hwy,Tillamook,OR,97141,,,"48300 Wilson River Hwy, Tillamook, OR 97141",,,SOUTH FORK FOREST CAMP
Two Rivers Correctional Institution,82911 Beach Access Rd,Umatilla,OR,97882,,,"82911 Beach Access Rd, Umatilla, OR 97882",,,TWO RIVERS CORRECTIONAL INSTITUTION
Warner Creek Correctional Facility ,20654 Rabbit Hill Rd,Lakeview,OR,97630,,,"20654 Rabbit Hill Rd, Lakeview, OR 97630",,,WARNER CREEK CORRECTIONAL FACILITY 
State Correctional Institution - Albion,10745 Rte 18,Albion,PA,16475,,,"10745 Rte 18, Albion, PA 16475",,,STATE CORRECTIONAL INSTITUTION - ALBION
State Correctional Institution - Benner Township,​301 Institution Dr,Bellefonte,PA,16823,,,"​301 Institution Dr, Bellefonte, PA 16823",,,STATE CORRECTIONAL INSTITUTION - BENNER TOWNSHIP
State Correctional Institution - Cambridge Springs,451 Fullerton Ave,Cambridge Springs,PA,16403,,,"451 Fullerton Ave, Cambridge Springs, PA 16403",,,STATE CORRECTIONAL INSTITUTION - CAMBRIDGE SPRINGS
State Correctional Institution - Camp Hill,2500 Lisburn Rd,Camp Hill,PA,17011,,,"2500 Lisburn Rd, Camp Hill, PA 17011",,,STATE CORRECTIONAL INSTITUTION - CAMP HILL
State Correctional Institution - Chester,500 E. 4th St,Chester,PA,19013,,,"500 E. 4th St, Chester, PA 19013",,,STATE CORRECTIONAL INSTITUTION - CHESTER
State Correctional Institution - Coal Township,1 Kelley Dr,Coal Township,PA,17866,,,"1 Kelley Dr, Coal Township, PA 17866",,,STATE CORRECTIONAL INSTITUTION - COAL TOWNSHIP
State Correctional Institution - Dallas,1000 Follies Rd,Dallas,PA,18612,,,"1000 Follies Rd, Dallas, PA 18612",,,STATE CORRECTIONAL INSTITUTION - DALLAS
State Correctional Institution - Fayette,50 Overlook Dr,LaBelle,PA,15450,,,"50 Overlook Dr, LaBelle, PA 15450",,,STATE CORRECTIONAL INSTITUTION - FAYETTE
State Correctional Institution - Forest,286 Woodland Dr,Marienville,PA,16239,,,"286 Woodland Dr, Marienville, PA 16239",,,STATE CORRECTIONAL INSTITUTION - FOREST
State Correctional Institution - Frackville,1111 Altamont Blvd,Frackville,PA,17931,,,"1111 Altamont Blvd, Frackville, PA 17931",,,STATE CORRECTIONAL INSTITUTION - FRACKVILLE
State Correctional Institution - Greene,​169 Progress Dr,Waynesburg,PA,15370,,,"​169 Progress Dr, Waynesburg, PA 15370",,,STATE CORRECTIONAL INSTITUTION - GREENE
State Correctional Institution - Houtzdale,209 Institution Dr,Houtzdale,PA,16698,,,"209 Institution Dr, Houtzdale, PA 16698",,,STATE CORRECTIONAL INSTITUTION - HOUTZDALE
State Correctional Institution - Huntingdon,1100 Pike St,Huntingdon,PA,16654,,,"1100 Pike St, Huntingdon, PA 16654",,,STATE CORRECTIONAL INSTITUTION - HUNTINGDON
State Correctional Institution - Laurel Highlands,5706 Glades Pike,Somerset,PA,15501,,,"5706 Glades Pike, Somerset, PA 15501",,,STATE CORRECTIONAL INSTITUTION - LAUREL HIGHLANDS
State Correctional Institution - Mahanoy,301 Grey Line Dr,Frackville,PA,17931,,,"301 Grey Line Dr, Frackville, PA 17931",,,STATE CORRECTIONAL INSTITUTION - MAHANOY
State Correctional Institution - Mercer,801 Butler Pike,Mercer,PA,16137,,,"801 Butler Pike, Mercer, PA 16137",,,STATE CORRECTIONAL INSTITUTION - MERCER
State Correctional Institution - Muncy,6454 Rte 405,Muncy,PA,17756,,,"6454 Rte 405, Muncy, PA 17756",,,STATE CORRECTIONAL INSTITUTION - MUNCY
State Correctional Institution - Phoenix,1200 Mokychic Dr,Collegeville,PA,19426,,,"1200 Mokychic Dr, Collegeville, PA 19426",,,STATE CORRECTIONAL INSTITUTION - PHOENIX
State Correctional Institution - Pine Grove,189 Fyock Rd,Indiana,PA,15701,,,"189 Fyock Rd, Indiana, PA 15701",,,STATE CORRECTIONAL INSTITUTION - PINE GROVE
State Correctional Institution - Rockview,1 Rockview Place,Bellefonte,PA,16823,,,"1 Rockview Place, Bellefonte, PA 16823",,,STATE CORRECTIONAL INSTITUTION - ROCKVIEW
State Correctional Institution - Smithfield,1120 Pike St,Huntingdon,PA,16652,,,"1120 Pike St, Huntingdon, PA 16652",,,STATE CORRECTIONAL INSTITUTION - SMITHFIELD
State Correctional Institution - Somerset,1590 Walters Mill Rd,Somerset,PA,15510,,,"1590 Walters Mill Rd, Somerset, PA 15510",,,STATE CORRECTIONAL INSTITUTION - SOMERSET
State Correctional Institution - Waymart,11 Farview Dr,Waymart,PA,18472,,,"11 Farview Dr, Waymart, PA 18472",,,STATE CORRECTIONAL INSTITUTION - WAYMART
Anthony P. Travisono Intake Service Center,18 Slate Hill Rd,Cranston,RI,02920,,,"18 Slate Hill Rd, Cranston, RI 02920",,,ANTHONY P. TRAVISONO INTAKE SERVICE CENTER
High Security Center,54 Power Rd,Cranston,RI,02920,,,"54 Power Rd, Cranston, RI 02920",,,HIGH SECURITY CENTER
Maximum Security,1375 Pontiac Ave,Cranston,RI,02920,,,"1375 Pontiac Ave, Cranston, RI 02920",,,MAXIMUM SECURITY
John J. Moran Medium Security Facility,51 West Rd,Cranston,RI,02920,,,"51 West Rd, Cranston, RI 02920",,,JOHN J. MORAN MEDIUM SECURITY FACILITY
Minimum Security,16 Howard Ave,Cranston,RI,02920,,,"16 Howard Ave, Cranston, RI 02920",,,MINIMUM SECURITY
Gloria McDonald Women's Facility ,20 Fleming Rd,Cranston,RI,02920,,,"20 Fleming Rd, Cranston, RI 02920",,,GLORIA MCDONALD WOMEN'S FACILITY 
Allendale Correctional Institution ,1057 Revolutionary Trail,Fairfax,SC,29827,,,"1057 Revolutionary Trail, Fairfax, SC 29827",,,ALLENDALE CORRECTIONAL INSTITUTION 
Broad River Correctional Institution ,4460 Broad River Rd,Columbia,SC,29210,,,"4460 Broad River Rd, Columbia, SC 29210",,,BROAD RIVER CORRECTIONAL INSTITUTION 
Broad River Secure Facility,4460 Broad River Rd,Columbia,SC,29210,,,"4460 Broad River Rd, Columbia, SC 29210",,,BROAD RIVER SECURE FACILITY
Camille Griffin Graham Correction Institution,4450 Broad River Rd,Columbia,SC,29210,,,"4450 Broad River Rd, Columbia, SC 29210",,,CAMILLE GRIFFIN GRAHAM CORRECTION INSTITUTION
Evans Correctional Institution,610 Hwy 9 W.,Bennettsville,SC,29512,,,"610 Hwy 9 W., Bennettsville, SC 29512",,,EVANS CORRECTIONAL INSTITUTION
Goodman Correctional Institution ,4556 Broad River Rd,Columbia,SC,29210,,,"4556 Broad River Rd, Columbia, SC 29210",,,GOODMAN CORRECTIONAL INSTITUTION 
Kershaw Correctional Institution and Reentry Center,4848 Gold Mine Hwy,Kershaw,SC,29067,,,"4848 Gold Mine Hwy, Kershaw, SC 29067",,,KERSHAW CORRECTIONAL INSTITUTION AND REENTRY CENTER
Kirkland Reception and Evaluation Center,4344 Broad River Rd,Columbia,SC,29210,,,"4344 Broad River Rd, Columbia, SC 29210",,,KIRKLAND RECEPTION AND EVALUATION CENTER
Leath Correctional Institution ,2809 Airport Rd,Greenwood,SC,29649,,,"2809 Airport Rd, Greenwood, SC 29649",,,LEATH CORRECTIONAL INSTITUTION 
Lee Correctional Institution ,990 Wisacky Hwy,Bishopville,SC,29010,,,"990 Wisacky Hwy, Bishopville, SC 29010",,,LEE CORRECTIONAL INSTITUTION 
Lieber Correctional Institution and Reentry Center,136 Wilborn Ave,Ridgeville,SC,29472,,,"136 Wilborn Ave, Ridgeville, SC 29472",,,LIEBER CORRECTIONAL INSTITUTION AND REENTRY CENTER
Livesay Correctional Institution,104 Broadcast Dr,Spartanburg,SC,29303,,,"104 Broadcast Dr, Spartanburg, SC 29303",,,LIVESAY CORRECTIONAL INSTITUTION
MacDougall Correctional Institution ,1516 Old Gilliard Rd,Ridgeville,SC,29472,,,"1516 Old Gilliard Rd, Ridgeville, SC 29472",,,MACDOUGALL CORRECTIONAL INSTITUTION 
Manning Reentry/Work Release Center,502 Beckman Rd,Columbia,SC,29203,,,"502 Beckman Rd, Columbia, SC 29203",,,MANNING REENTRY/WORK RELEASE CENTER
McCormick Correctional Institution,386 Redemption Way,McCormick,SC,29899,,,"386 Redemption Way, McCormick, SC 29899",,,MCCORMICK CORRECTIONAL INSTITUTION
Palmer Pre-Release Center,2012 Pisgah Rd,Florence,SC,29501,,,"2012 Pisgah Rd, Florence, SC 29501",,,PALMER PRE-RELEASE CENTER
Perry Correctional Institution ,430 Oaklawn Rd,Pelzer,SC,29669,,,"430 Oaklawn Rd, Pelzer, SC 29669",,,PERRY CORRECTIONAL INSTITUTION 
Ridgeland Correctional Institution ,5 Correctional Rd,Ridgeland,SC,29936,,,"5 Correctional Rd, Ridgeland, SC 29936",,,RIDGELAND CORRECTIONAL INSTITUTION 
Trenton Correctional Institution ,84 Greenhouse Rd,Trenton,SC,29847,,,"84 Greenhouse Rd, Trenton, SC 29847",,,TRENTON CORRECTIONAL INSTITUTION 
Turbeville Correctional Institution ,1578 Clarence Coker Hwy,Turbeville,SC,29162,,,"1578 Clarence Coker Hwy, Turbeville, SC 29162",,,TURBEVILLE CORRECTIONAL INSTITUTION 
Tyger River Correctional Center,100-200 Prison Rd,Enoree,SC,29335,,,"100-200 Prison Rd, Enoree, SC 29335",,,TYGER RIVER CORRECTIONAL CENTER
Wateree River Correctional Institution ,Hwy 261,Rembert,SC,29128,,,"Hwy 261, Rembert, SC 29128",,,WATEREE RIVER CORRECTIONAL INSTITUTION 
